2012 BW13,2072-2111,11,3.6e-06,11.67,27.2,0.012,-6.77,-7.14,0
2004 RU109,2038-2053,5,5.4e-07,12.93,26.5,0.017,-6.77,-7.13,0
2008 GM2,2090-2110,37,1.9e-05,4.62,28.4,0.007,-6.79,-7.36,0
2005 CC37,2100-2100,1,2.8e-08,8.45,22.7,0.099,-6.79,0
2004 BN41,2086-2098,2,8.1e-07,7.57,25.8,0.024,-6.80,-6.90,0
2009 YR,2060-2087,7,7.9e-06,3.12,28.0,0.009,-6.82,-7.28,0
2008 UA202,2045-2108,48,5.1e-05,2.31,29.4,0.004,-6.83,-7.58,0
2010 TW54,2081-2107,7,5.8e-06,7.78,27.5,0.010,-6.83,-7.06,0
2012 RU16,2077-2089,2,4.8e-07,8.66,25.6,0.026,-6.85,-7.05,0
2007 EZ25,2047-2097,3,1.9e-07,20.76,25.6,0.026,-6.92,-7.15,0
2008 TS10,2068-2109,16,2.1e-05,3.18,28.8,0.006,-6.92,-7.64,0
2011 BP40,2025-2106,29,2.0e-07,3.43,25.4,0.028,-6.92,-7.43,0
2002 GM5,2098-2098,1,2.3e-09,19.64,21.4,0.170,-6.95,0
2009 EW,2075-2075,1,5.9e-07,12.83,26.4,0.018,-6.96,0
2007 EN88,2094-2104,3,8.9e-07,12.16,26.4,0.017,-6.99,-7.15,0
2010 RM80,2085-2111,20,7.5e-06,5.37,27.9,0.009,-7.01,-7.32,0
2006 HE2,2081-2103,3,1.3e-06,5.02,26.5,0.017,-7.01,-7.39,0
2011 UE305,2109-2109,1,2.2e-09,15.92,21.2,0.190,-7.02,0
2008 UA92,2078-2078,1,2.0e-06,8.38,27.3,0.012,-7.03,0
2008 UW99,2093-2093,1,1.4e-07,8.53,24.7,0.039,-7.04,0
2011 FA23,2051-2104,5,6.5e-06,14.33,28.9,0.006,-7.04,-7.13,0
2008 XU2,2039-2039,1,1.1e-07,9.93,25.6,0.026,-7.05,0
2006 UQ216,2074-2106,4,3.2e-06,3.74,27.3,0.012,-7.06,-7.26,0
2010 MA113,2075-2076,2,5.4e-09,5.87,21.9,0.140,-7.06,-7.13,0
2000 UK11,2099-2099,1,2.3e-07,6.30,25.0,0.034,-7.06,0
