2012SG58,100.0*,2060-10-04 19:25,1/9.52E7,-6.9,0,19.43,144
2007UD6,9.0*,2083-10-18 17:02,1/90909,-6.9,0,12.69,1947
2004ME6,130.0*,2032-07-13 15:20,1/1.58E8,-6.91,0,14.67,3161
2009WW7,7.0*,2083-11-19 19:55,1/60975,-6.93,0,13.86,1187
2008PK9,97.0*,2045-08-10 11:12,1/2.5E8,-6.93,0,30.17,1656
2008EL68,12.0*,2017-02-07 21:16,1/980392,-6.94,0,11.4,1805
2007DC,13.0*,2054-02-08 13:47,1/429184,-6.95,0,13.03,2194
2007TX22,9.0*,2078-10-12 20:44,1/129870,-6.97,0,14.31,1958
2009EW,22.0*,2075-03-06 21:32,1/1.74E6,-6.99,0,17.02,1449
2007UN12,8.0*,2075-10-18 03:22,1/64935,-6.99,0,11.3,1940
2012TC4,19.0*,2030-10-12 14:53,1/3.01E6,-7.02,0,12.94,137
2010UR7,14.0*,2086-10-28 16:08,1/552486,-7.02,0,17.41,842
2001UD5,140.0*,2060-10-09 09:33,1/2.47E8,-7.02,0,20.49,4119
2011AY22,16.0*,2085-01-17 06:23,1/781250,-7.04,0,17.07,672
2010DH,390.0*,2012-08-19 20:36,1/1.8E10,-7.04,0,18.49,660
2006SR131,11.0*,2083-09-23 15:42,1/212314,-7.05,0,14.02,2337
2008XU2,32.0*,2039-11-25 01:26,1/9.17E6,-7.08,0,14.95,1535
2006WV29,21.0*,2054-06-05 05:04,1/3.39E6,-7.08,0,20.19,2279
2012RU16,32.0*,2077-07-20 20:00,1/3.73E6,-7.08,0,14.09,158
1991BA,8.0*,2023-01-18 01:42,1/621118,-7.1,0,21.97,8069
2008US,2.0*,2018-04-18 01:55,1/98039,-7.13,0,21.73,1582
2009TB,6.0*,2014-10-01 05:37,1/1.49E6,-7.14,0,16.24,1234
2010JH110,23.0*,2071-06-01 10:38,1/2.14E6,-7.15,0,13.7,1010
2009FJ,45.0*,2088-03-13 12:42,1/8.55E6,-7.15,0,14.34,1435
2011AE3,18.0*,2087-01-02 23:36,1/442477,-7.16,0,12.32,672
2010TW149,28.0*,2085-10-07 01:36,1/5.35E6,-7.17,0,20.41,858
2010FN,20.0*,2082-10-12 20:24,1/1.21E6,-7.18,0,13.08,1069
2012HP13,59.0*,2085-04-27 12:01,1/2.65E7,-7.2,0,17.13,302
2011YC40,5.0*,2028-12-27 12:16,1/259740,-7.21,0,15.62,416
2009YR,11.0*,2060-09-20 03:07,1/347222,-7.22,0,11.6,1158
2007EZ25,33.0*,2087-03-04 16:47,1/1.06E7,-7.23,0,23.99,2171
2005AU3,27.0*,2088-01-05 21:13,1/4.18E6,-7.23,0,18.22,2964
2012XL55,16.0*,2036-06-08 18:48,1/6.25E6,-7.23,0,22.24,73
2008BC15,20.0*,2072-07-23 08:30,1/4.52E6,-7.27,0,23.67,1847
1997TC25,45.0*,2090-10-15 22:21,1/1.15E7,-7.27,0,16.75,5599
2012EP10,6.0*,2084-03-04 01:54,1/73529,-7.28,0,11.48,340
2011CF66,13.0*,2067-09-29 10:06,1/1.14E6,-7.28,0,13.65,672
2004RU109,21.0*,2038-09-14 06:01,1/5.88E6,-7.29,0,17.09,3083
2002TY59,35.0*,2084-10-01 20:51,1/6.1E6,-7.31,0,13.88,3766
2004BN41,30.0*,2086-02-02 20:33,1/4.22E6,-7.33,0,13.39,3309
2010NH,31.0*,2089-07-01 02:38,1/5.85E6,-7.34,0,15.21,960
2010HP20,13.0*,2040-04-18 12:42,1/1.86E6,-7.34,0,15.31,1033
